title,actor1,actor1_fb,actor2,actor2_fb,actor3,actor3_fb
The Good Dinosaur,A.J. Buckley,275.0,Jack McGraw,150.0,Peter Sohn,113.0
Brave,Kelly Macdonald,2000.0,John Ratzenberger,1000.0,Julie Walters,838.0
Star Trek Beyond,Sofia Boutella,998.0,Melissa Roxburgh,119.0,Lydia Wilson,105.0
WALL·E,John Ratzenberger,1000.0,Fred Willard,729.0,Jeff Garlin,522.0
Rush Hour 3,Tzi Ma,268.0,Dana Ivey,268.0,Noémie Lenoir,173.0
2012,Oliver Platt,1000.0,Liam James,468.0,Tom McCarthy,310.0
A Christmas Carol,Robin Wright,18000.0,Colin Firth,14000.0,Gary Oldman,10000.0
Jupiter Ascending,Channing Tatum,17000.0,Mila Kunis,15000.0,Eddie Redmayne,13000.0
The Legend of Tarzan,Christoph Waltz,11000.0,Alexander Skarsgård,10000.0,Casper Crump,103.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Jim Broadbent,1000.0,Kiran Shah,190.0,Shane Rangi,82.0
X-Men: Apocalypse,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Tye Sheridan,1000.0
The Dark Knight,Christian Bale,23000.0,Heath Ledger,13000.0,Morgan Freeman,11000.0
Up,John Ratzenberger,1000.0,Delroy Lindo,848.0,Jess Harnell,262.0
Monsters vs. Aliens,Amy Poehler,1000.0,Rainn Wilson,973.0,Stephen Colbert,459.0
Iron Man,Robert Downey Jr.,21000.0,Jeff Bridges,12000.0,Jon Favreau,4000.0
Hugo,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0,Ray Winstone,1000.0
Wild Wild West,Will Smith,10000.0,Salma Hayek,4000.0,Bai Ling,582.0
The Mummy: Tomb of the Dragon Emperor,Jet Li,5000.0,Brendan Fraser,3000.0,Russell Wong,595.0
Suicide Squad,Will Smith,10000.0,Robin Atkin Downes,336.0,Ike Barinholtz,329.0
Evan Almighty,Jimmy Bennett,87000.0,Morgan Freeman,11000.0,Steve Carell,7000.0
Edge of Tomorrow,Tom Cruise,10000.0,Lara Pulver,854.0,Noah Taylor,509.0
Waterworld,Jeanne Tripplehorn,711.0,Rick Aviles,60.0,Zakes Mokae,60.0
G.I. Joe: The Rise of Cobra,Joseph Gordon-Levitt,23000.0,Dennis Quaid,2000.0,Leo Howard,570.0
Inside Out,Amy Poehler,1000.0,Mindy Kaling,767.0,Phyllis Smith,384.0
The Jungle Book,Scarlett Johansson,19000.0,Bill Murray,13000.0,Garry Shandling,591.0
Iron Man 2,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Jon Favreau,4000.0
Snow White and the Huntsman,Chris Hemsworth,26000.0,Kristen Stewart,17000.0,Sam Claflin,11000.0
Maleficent,Angelina Jolie Pitt,11000.0,Sharlto Copley,2000.0,Sam Riley,846.0
Dawn of the Planet of the Apes,Gary Oldman,10000.0,Judy Greer,2000.0,Kodi Smit-McPhee,884.0
The Lovers,Tamsin Egerton,622.0,Alice Englert,525.0,Bipasha Basu,283.0
47 Ronin,Keanu Reeves,18000.0,Cary-Hiroyuki Tagawa,1000.0,Jin Akanishi,982.0
Captain America: The Winter Soldier,Scarlett Johansson,19000.0,Chris Evans,11000.0,Hayley Atwell,2000.0
Shrek Forever After,Jon Hamm,4000.0,Kathy Griffin,225.0,Mary Kay Place,213.0
Tomorrowland,Judy Greer,2000.0,Chris Bauer,638.0,Thomas Robinson,604.0
Big Hero 6,Damon Wayans Jr.,756.0,Daniel Henney,719.0,Abraham Benrubi,562.0
Wreck-It Ralph,Jack McBrayer,975.0,Sarah Silverman,931.0,Joe Lo Truglio,833.0
The Polar Express,Tom Hanks,15000.0,Eddie Deezen,726.0,Peter Scolari,267.0
Independence Day: Resurgence,Vivica A. Fox,890.0,Sela Ward,812.0,Judd Hirsch,535.0
How to Train Your Dragon,Gerard Butler,18000.0,America Ferrera,953.0,Craig Ferguson,759.0
Terminator 3: Rise of the Machines,Nick Stahl,648.0,M.C. Gainey,284.0,Carolyn Hennesy,191.0
Guardians of the Galaxy,Bradley Cooper,14000.0,Vin Diesel,14000.0,Djimon Hounsou,3000.0
Interstellar,Matthew McConaughey,11000.0,Anne Hathaway,11000.0,Mackenzie Foy,6000.0
Inception,Leonardo DiCaprio,29000.0,Tom Hardy,27000.0,Joseph Gordon-Levitt,23000.0
Godzilla Resurgence,Mark Chinnery,544.0,Shin'ya Tsukamoto,106.0,Atsuko Maeda,12.0
The Hobbit: An Unexpected Journey,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0
The Fast and the Furious,Paul Walker,23000.0,Vin Diesel,14000.0,Jordana Brewster,4000.0
The Curious Case of Benjamin Button,Brad Pitt,11000.0,Jason Flemyng,1000.0,Julia Ormond,919.0
X-Men: First Class,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Oliver Platt,1000.0
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,34000.0,Philip Seymour Hoffman,22000.0,Josh Hutcherson,14000.0
The Sorcerer's Apprentice,Nicolas Cage,12000.0,Omar Benson Miller,418.0,Robert Capron,370.0
Poseidon,Jimmy Bennett,87000.0,Mike Vogel,2000.0,Andre Braugher,702.0
Alice Through the Looking Glass,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0
Shrek the Third,Justin Timberlake,3000.0,Eric Idle,795.0,Rupert Everett,692.0
Warcraft,Dominic Cooper,3000.0,Callum Rennie,716.0,Ruth Negga,648.0
Terminator Genisys,J.K. Simmons,24000.0,Emilia Clarke,10000.0,Matt Smith,2000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Bruce Spence,531.0,Shane Rangi,82.0,Laura Brent,59.0
Pearl Harbor,Jennifer Garner,3000.0,Jaime King,961.0,Mako,691.0
Transformers,Zack Ward,662.0,Michael O'Neill,599.0,Kevin Dunn,581.0
Alexander,Anthony Hopkins,12000.0,Angelina Jolie Pitt,11000.0,Brian Blessed,591.0
Harry Potter and the Order of the Phoenix,Robert Pattinson,21000.0,Daniel Radcliffe,11000.0,Fiona Shaw,687.0
Harry Potter and the Goblet of Fire,Robert Pattinson,21000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0
Hancock,Will Smith,10000.0,Charlize Theron,9000.0,Eddie Marsan,979.0
I Am Legend,Will Smith,10000.0,Alice Braga,1000.0,Willow Smith,558.0
Charlie and the Chocolate Factory,Johnny Depp,40000.0,Christopher Lee,16000.0,David Kelly,588.0
Ratatouille,Janeane Garofalo,1000.0,John Ratzenberger,1000.0,Brian Dennehy,954.0
Batman Begins,Christian Bale,23000.0,Liam Neeson,14000.0,Morgan Freeman,11000.0
Madagascar: Escape 2 Africa,Bernie Mac,1000.0,Jada Pinkett Smith,851.0,Cedric the Entertainer,436.0
Night at the Museum: Battle of the Smithsonian,Robin Williams,49000.0,Rami Malek,3000.0,Steve Coogan,1000.0
X-Men Origins: Wolverine,Hugh Jackman,20000.0,Ryan Reynolds,16000.0,Dominic Monaghan,2000.0
The Matrix Revolutions,Essie Davis,309.0,Collin Chou,269.0,Nona Gaye,233.0
Frozen,Josh Gad,1000.0,Maurice LaMarche,523.0,Livvy Stubenrauch,490.0
The Matrix Reloaded,Steve Bastoni,234.0,Daniel Bernhardt,198.0,Helmut Bakaitis,30.0
Thor: The Dark World,Chris Hemsworth,26000.0,Natalie Portman,20000.0,Anthony Hopkins,12000.0
Mad Max: Fury Road,Tom Hardy,27000.0,Charlize Theron,9000.0,Zoë Kravitz,943.0
Angels & Demons,Tom Hanks,15000.0,Ayelet Zurer,745.0,Armin Mueller-Stahl,294.0
Thor,Chris Hemsworth,26000.0,Natalie Portman,20000.0,Anthony Hopkins,12000.0
Bolt,Chloë Grace Moretz,17000.0,Diedrich Bader,759.0,James Lipton,699.0
G-Force,Kelli Garner,730.0,Piper Mackenzie Harris,607.0,Niecy Nash,182.0
Wrath of the Titans,Liam Neeson,14000.0,Edgar Ramírez,897.0,Lily James,502.0
Dark Shadows,Johnny Depp,40000.0,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0
Mission: Impossible - Rogue Nation,Tom Cruise,10000.0,Jeremy Renner,10000.0,Sean Harris,641.0
The Wolfman,Anthony Hopkins,12000.0,Simon Merrells,490.0,Art Malik,162.0
Bee Movie,Matthew Broderick,2000.0,Oprah Winfrey,852.0,Rip Torn,826.0
Kung Fu Panda 2,Angelina Jolie Pitt,11000.0,Gary Oldman,10000.0,Mike Bell,15.0
The Last Airbender,Seychelle Gabriel,1000.0,Noah Ringer,756.0,Aasif Mandvi,346.0
Mission: Impossible III,Philip Seymour Hoffman,22000.0,Tom Cruise,10000.0,Eddie Marsan,979.0
White House Down,Channing Tatum,17000.0,Jake Weber,551.0,Matt Craven,256.0
Mars Needs Moms,Elisabeth Harnois,921.0,Dan Fogler,562.0,Tom Everett Scott,433.0
Flushed Away,Hugh Jackman,20000.0,Kate Winslet,14000.0,David Suchet,586.0
Pan,Hugh Jackman,20000.0,Cara Delevingne,548.0,Nonso Anozie,394.0
Mr. Peabody & Sherman,Ty Burrell,3000.0,Zach Callison,1000.0,Karan Brar,517.0
Troy,Brad Pitt,11000.0,Orlando Bloom,5000.0,Julian Glover,844.0
Madagascar 3: Europe's Most Wanted,Jada Pinkett Smith,851.0,Martin Short,770.0,Cedric the Entertainer,436.0
Die Another Day,Toby Stephens,769.0,Colin Salmon,766.0,Rick Yune,746.0
Ghostbusters,Ed Begley Jr.,783.0,Kate McKinnon,370.0,Zach Woods,322.0
Armageddon,Bruce Willis,13000.0,Steve Buscemi,12000.0,Will Patton,537.0
Men in Black II,Will Smith,10000.0,Rosario Dawson,3000.0,Rip Torn,826.0
Beowulf,Robin Wright,18000.0,Anthony Hopkins,12000.0,Sebastian Roché,964.0
Kung Fu Panda 3,J.K. Simmons,24000.0,Angelina Jolie Pitt,11000.0,Wayne Knight,967.0
Mission: Impossible - Ghost Protocol,Tom Cruise,10000.0,Jeremy Renner,10000.0,Michael Nyqvist,690.0
Rise of the Guardians,Hugh Jackman,20000.0,Kamil McFadden,315.0,Khamani Griffin,161.0
Fun with Dick and Jane,John Michael Higgins,957.0,Richard Burgi,550.0,David Herman,233.0
The Last Samurai,Tom Cruise,10000.0,Tony Goldwyn,956.0,Chad Lindberg,445.0
Exodus: Gods and Kings,Christian Bale,23000.0,María Valverde,893.0,Ben Mendelsohn,748.0
Star Trek,Chris Hemsworth,26000.0,Leonard Nimoy,12000.0,Bruce Greenwood,981.0
Spider-Man,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0
How to Train Your Dragon 2,Gerard Butler,18000.0,Djimon Hounsou,3000.0,America Ferrera,953.0
Gods of Egypt,Gerard Butler,18000.0,Elodie Yung,934.0,Bryan Brown,284.0
Stealth,Sam Shepard,820.0,Joe Morton,780.0,Richard Roxburgh,653.0
Watchmen,Matt Frewer,986.0,Billy Crudup,745.0,Stephen McHattie,413.0
Lethal Weapon 4,Jet Li,5000.0,Rene Russo,808.0,Darlene Love,91.0
Hulk,Kevin Rankin,820.0,Regi Davis,300.0,Celia Weston,258.0
G.I. Joe: Retaliation,Channing Tatum,17000.0,Dwayne Johnson,12000.0,Elodie Yung,934.0
Sahara,Matthew McConaughey,11000.0,Rainn Wilson,973.0,Delroy Lindo,848.0
Final Fantasy: The Spirits Within,Steve Buscemi,12000.0,Ming-Na Wen,2000.0,Jean Simmons,422.0
Captain America: The First Avenger,Chris Evans,11000.0,Dominic Cooper,3000.0,Hayley Atwell,2000.0
The World Is Not Enough,Colin Salmon,766.0,Maria Grazia Cucinotta,536.0,Desmond Llewelyn,244.0
Master and Commander: The Far Side of the World,James D'Arcy,613.0,Lee Ingleby,172.0,David Threlfall,168.0
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson,21000.0,Kristen Stewart,17000.0,Taylor Lautner,12000.0
Happy Feet 2,Robin Williams,49000.0,Brad Pitt,11000.0,Common,988.0
The Incredible Hulk,Ty Burrell,3000.0,Peter Mensah,1000.0,William Hurt,882.0
Miami Vice,Don Johnson,982.0,Philip Michael Thomas,321.0,John Diehl,184.0
The BFG,Mark Rylance,535.0,Penelope Wilton,400.0,Rafe Spall,358.0
The Revenant,Leonardo DiCaprio,29000.0,Tom Hardy,27000.0,Lukas Haas,733.0
Turbo,Ryan Reynolds,16000.0,Snoop Dogg,881.0,Ben Schwartz,463.0
Rango,Johnny Depp,40000.0,Ray Winstone,1000.0,Stephen Root,939.0
Penguins of Madagascar,Benedict Cumberbatch,19000.0,Annet Mahendru,411.0,Andy Richter,179.0
The Bourne Ultimatum,Matt Damon,13000.0,Edgar Ramírez,897.0,Albert Finney,883.0
Kung Fu Panda,Angelina Jolie Pitt,11000.0,Wayne Knight,967.0,Dan Fogler,562.0
Ant-Man,Judy Greer,2000.0,Hayley Atwell,2000.0,T.I.,680.0
The Hunger Games: Catching Fire,Jennifer Lawrence,34000.0,Josh Hutcherson,14000.0,Sandra Ellis Lafferty,523.0
Home,Jim Parsons,17000.0,Matt Jones,523.0,April Winchell,183.0
War of the Worlds,Tom Cruise,10000.0,Lisa Ann Walter,1000.0,Rick Gonzalez,807.0
Bad Boys II,Will Smith,10000.0,Henry Rollins,898.0,Jordi Mollà,877.0
Puss in Boots,Salma Hayek,4000.0,Constance Marie,442.0,Amy Sedaris,397.0
Salt,Angelina Jolie Pitt,11000.0,Andre Braugher,702.0,August Diehl,282.0
Noah,Anthony Hopkins,12000.0,Emma Watson,9000.0,Logan Lerman,8000.0
The Adventures of Tintin,Toby Jones,2000.0,Mackenzie Crook,871.0,Tony Curran,845.0
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,11000.0,Gary Oldman,10000.0,Rupert Grint,10000.0
Australia,Essie Davis,309.0,Bryan Brown,284.0,Eddie Baroo,165.0
After Earth,Will Smith,10000.0,Zoë Kravitz,943.0,Glenn Morshower,894.0
Dinosaur,Alfre Woodard,1000.0,D.B. Sweeney,558.0,Della Reese,388.0
Harry Potter and the Deathly Hallows: Part II,Rupert Grint,10000.0,Dave Legeno,570.0,Ralph Ineson,159.0
Night at the Museum: Secret of the Tomb,Robin Williams,49000.0,Rami Malek,3000.0,Steve Coogan,1000.0
Megamind,J.K. Simmons,24000.0,Brad Pitt,11000.0,Will Ferrell,8000.0
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe,11000.0,Fiona Shaw,687.0,Verne Troyer,645.0
R.I.P.D.,Ryan Reynolds,16000.0,Jeff Bridges,12000.0,Stephanie Szostak,1000.0
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0
Harry Potter and the Deathly Hallows: Part I,Rupert Grint,10000.0,Toby Jones,2000.0,Alfred Enoch,1000.0
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,34000.0,Philip Seymour Hoffman,22000.0,Josh Hutcherson,14000.0
The Da Vinci Code,Tom Hanks,15000.0,Seth Gabel,574.0,Jürgen Prochnow,362.0
Rio 2,Miguel Ferrer,688.0,Rachel Crow,237.0,Jeffrey Garcia,56.0
X-Men 2,Hugh Jackman,20000.0,Bruce Davison,505.0,Aaron Stanford,346.0
Fast Five,Paul Walker,23000.0,Vin Diesel,14000.0,Dwayne Johnson,12000.0
Sherlock Holmes: A Game of Shadows,Robert Downey Jr.,21000.0,Eddie Marsan,979.0,Paul Anderson,154.0
Clash of the Titans,Liam Neeson,14000.0,Jason Flemyng,1000.0,Alexa Davalos,850.0
Total Recall,Ronny Cox,605.0,Rachel Ticotin,308.0,Marshall Bell,217.0
The 13th Warrior,Tony Curran,845.0,Vladimir Kulich,372.0,Clive Russell,241.0
The Bourne Legacy,Jeremy Renner,10000.0,Scott Glenn,826.0,Stacy Keach,602.0
Batman & Robin,Michael Gough,920.0,Vivica A. Fox,890.0,John Glover,409.0
How the Grinch Stole Christmas,Clint Howard,1000.0,T.J. Thyne,722.0,Molly Shannon,636.0
The Day After Tomorrow,Jake Gyllenhaal,15000.0,Dennis Quaid,2000.0,Sela Ward,812.0
Mission: Impossible II,Tom Cruise,10000.0,Dougray Scott,794.0,Richard Roxburgh,653.0
The Perfect Storm,Karen Allen,784.0,Mary Elizabeth Mastrantonio,638.0,Bob Gunton,461.0
Fantastic 4: Rise of the Silver Surfer,Chris Evans,11000.0,Ioan Gruffudd,2000.0,Andre Braugher,702.0
Life of Pi,Suraj Sharma,774.0,Rafe Spall,358.0,Tabu,341.0
Ghost Rider,Nicolas Cage,12000.0,Matt Long,701.0,Peter Fonda,402.0
Jason Bourne,Matt Damon,13000.0,Riz Ahmed,365.0,Ato Essandoh,265.0
Charlie's Angels: Full Throttle,Demi Moore,2000.0,Bernie Mac,1000.0,Justin Theroux,1000.0
Prometheus,Michael Fassbender,13000.0,Charlize Theron,9000.0,Sean Harris,641.0
Stuart Little 2,Nathan Lane,886.0,Brad Garrett,799.0,Melanie Griffith,537.0
Elysium,Matt Damon,13000.0,Sharlto Copley,2000.0,Alice Braga,1000.0
The Chronicles of Riddick,Vin Diesel,14000.0,Alexa Davalos,850.0,Christina Cox,567.0
RoboCop,Gary Oldman,10000.0,Abbie Cornish,2000.0,Jennifer Ehle,1000.0
Speed Racer,Scott Porter,690.0,Kick Gurry,107.0,Nicholas Elia,87.0
How Do You Know,Shelley Conn,273.0,Domenick Lombardozzi,216.0,Teyonah Parris,157.0
Knight and Day,Tom Cruise,10000.0,Marc Blucas,973.0,Jordi Mollà,877.0
Oblivion,Morgan Freeman,11000.0,Tom Cruise,10000.0,Zoë Bell,1000.0
Star Wars: Episode III - Revenge of the Sith,Natalie Portman,20000.0,Christopher Lee,16000.0,Hayden Christensen,4000.0
Star Wars: Episode II - Attack of the Clones,Natalie Portman,20000.0,Christopher Lee,16000.0,Hayden Christensen,4000.0
"Monsters, Inc.",Steve Buscemi,12000.0,John Ratzenberger,1000.0,James Coburn,773.0
The Wolverine,Hugh Jackman,20000.0,Tao Okamoto,992.0,Rila Fukushima,929.0
Star Wars: Episode I - The Phantom Menace,Natalie Portman,20000.0,Liam Neeson,14000.0,Ian McDiarmid,1000.0
The Croods,Ryan Reynolds,16000.0,Emma Stone,15000.0,Nicolas Cage,12000.0
Asterix at the Olympic Games,Alain Delon,936.0,Santiago Segura,276.0,Vanessa Hessler,141.0
Windtalkers,Nicolas Cage,12000.0,Roger Willie,836.0,Noah Emmerich,617.0
The Huntsman: Winter's War,Chris Hemsworth,26000.0,Sam Claflin,11000.0,Charlize Theron,9000.0
Teenage Mutant Ninja Turtles,Noel Fisher,833.0,Danny Woodburn,809.0,Jeremy Howard,429.0
Gravity,Phaldut Sharma,39.0,Basher Savage,23.0,Amy Warren,13.0
Dante's Peak,Jamie Renée Smith,650.0,Grant Heslov,293.0,Tzi Ma,268.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Stephen Amell,5000.0,Noel Fisher,833.0,Brad Garrett,799.0
Fantastic Four,Tim Blake Nelson,596.0,Reg E. Cathey,360.0,Tim Heidecker,78.0
Night at the Museum,Robin Williams,49000.0,Rami Malek,3000.0,Steve Coogan,1000.0
San Andreas,Dwayne Johnson,12000.0,Ioan Gruffudd,2000.0,Archie Panjabi,884.0
Tomorrow Never Dies,Vincent Schiavelli,811.0,Colin Salmon,766.0,Joe Don Baker,387.0
The Patriot,Heath Ledger,13000.0,Adam Baldwin,2000.0,Tom Wilkinson,1000.0
Ocean's Twelve,Brad Pitt,11000.0,Julia Roberts,8000.0,Mini Anden,350.0
Mr. & Mrs. Smith,Brad Pitt,11000.0,Angelina Jolie Pitt,11000.0,Stephanie March,322.0
Insurgent,Kate Winslet,14000.0,Theo James,5000.0,Mekhi Phifer,1000.0
The Aviator,Leonardo DiCaprio,29000.0,Adam Scott,3000.0,Frances Conroy,827.0
Gulliver's Travels,James Corden,480.0,Catherine Tate,392.0,Olly Alexander,116.0
The Green Hornet,Christoph Waltz,11000.0,Tom Wilkinson,1000.0,Chad L. Coleman,741.0
The A-Team,George Peppard,669.0,Dirk Benedict,554.0,Dwight Schultz,432.0
300: Rise of an Empire,Eva Green,6000.0,Sullivan Stapleton,1000.0,Peter Mensah,1000.0
The Smurfs,Mahadeo Shivraj,383.0,Tim Gunn,113.0,Madison McKinley,111.0
Home on the Range,Steve Buscemi,12000.0,Roseanne Barr,513.0,G.W. Bailey,421.0
Allegiant,Naomi Watts,6000.0,Theo James,5000.0,Zoë Kravitz,943.0
Real Steel,Hugh Jackman,20000.0,Torey Michael Adkins,929.0,Olga Fonda,544.0
The Smurfs 2,Jacob Tremblay,681.0,Nancy O'Dell,71.0,Vanessa Matsui,40.0
Speed 2: Cruise Control,Jason Patric,673.0,Temuera Morrison,368.0,Lois Chiles,202.0
Ender's Game,Harrison Ford,11000.0,Moises Arias,635.0,Aramis Knight,430.0
Live Free or Die Hard,Bruce Willis,13000.0,Jonathan Sadowski,300.0,Cyril Raffaelli,297.0
The Lord of the Rings: The Fellowship of the Ring,Christopher Lee,16000.0,Orlando Bloom,5000.0,Billy Boyd,857.0
Around the World in 80 Days,Jim Broadbent,1000.0,Steve Coogan,1000.0,Cécile De France,447.0
Ali,Will Smith,10000.0,Jada Pinkett Smith,851.0,Joe Morton,780.0
The Cat in the Hat,Sean Hayes,760.0,Kelly Preston,743.0,Spencer Breslin,434.0
"I, Robot",Will Smith,10000.0,Bruce Greenwood,981.0,Chi McBride,466.0
Kingdom of Heaven,Liam Neeson,14000.0,Orlando Bloom,5000.0,Philip Glenister,195.0
Stuart Little,Chazz Palminteri,979.0,Nathan Lane,886.0,Jeffrey Jones,692.0
The Princess and the Frog,Oprah Winfrey,852.0,Jenifer Lewis,578.0,Anika Noni Rose,525.0
The Martian,Matt Damon,13000.0,Donald Glover,801.0,Benedict Wong,372.0
"10,000 B.C.",Mathew Buck,5.0,,,,
The Island,Scarlett Johansson,19000.0,Steve Buscemi,12000.0,Djimon Hounsou,3000.0
Town & Country,Del Zamora,752.0,Warren Beatty,631.0,Garry Shandling,591.0
Gone in Sixty Seconds,Nicolas Cage,12000.0,Angelina Jolie Pitt,11000.0,Robert Duvall,3000.0
Gladiator,Djimon Hounsou,3000.0,Connie Nielsen,933.0,Oliver Reed,695.0
